ID,Name,Street Number,Street Name,Zipcode,Phone,Gender,Income
83,Zara,47,Main St,75685,6398386888,Female,35000
84,Holly,76,Wing St,24561,8356865868,Female,40000
85,Nancy,66,Main St,32230,8883568658,Female,150000
86,Rose,57,Wall Ave,32230,6358653833,Female,150000
87,Emilia,47,Road Rd,32640,6358365264,Female,60000
88,Harriet,45,Main St,38658,6136634566,Female,150000
89,Drake,76,Road Rd,24561,6257624577,Male,75000
90,Josh,88,Look Rd,98342,2547275427,Male,40000
91,Anabelle,889,Wall Ave,45684,7245652622,Female,250000
92,Leah,57,Wall Ave,32230,2534664264,Female,43000
93,Darcey,54,Avenue Ave,45688,6234564145,Female,58000
94,Victoria,34,Bowl Blvd,68488,1435435464,Female,40000
95,Katie,26,Road Rd,32230,1646345431,Female,35000
96,Annie,254,Road Rd,98342,1432516646,Female,75000
97,Zoe,23,Street St,24561,4611161666,Female,95000
98,Iris,22,Porter Dr,98342,1234634256,Female,43000
99,Martha,21,Wall Ave,24561,4326234634,Female,60000
100,Aurora,27,Wing St,98342,6323155125,Female,43000
